,Unnamed: 0.1,Unnamed: 0,question,answer,mistral_answers,cosine_similarity_scores,euclidean_distances
13,13,14,"Can I work part-time while studying in Malaysia, and are there any visa implications?","Check the EMGS website guidelines. You can work part-time in allowed places such as restaurants, hotels, petrol stations, mini markets, and around campus. However, you must not let work interfere with your studies. Can only work as a behind the scenes employee. ","Yes, you can work part-time while studying in Malaysia. According to the EMGS (Education Malaysia Global Services) website guidelines, you are allowed to work part-time in certain places such as restaurants, hotels, petrol stations, mini markets, and around campus. However, it's important to ensure that your work does not interfere with your studies and you should only work as a behind the scenes employee. Please refer to the EMGS website for the most up-to-date and detailed information.",0.6797988443515066,0.8002514225619846
14,14,15,Are there any updates or changes to visa or immigration policies that I should be aware of?,Regularly check the MASD UM website and the EMGS website for updates and changes to visa or immigration policies.,"Based on the provided context, the answer to your question is:

Regularly check the MASD UM website and the EMGS website for updates and changes to visa or immigration policies to ensure you have the most current information.",0.9323452649949932,0.3678443585732428
15,15,16,How can I contact the visa unit for further assistance or clarification?,You can contact the visa unit via WhatsApp or email for assistance.,"Based on the provided context, you can contact the visa unit for further assistance or clarification via WhatsApp or email.",0.920408049988731,0.3989785661013116
16,16,17,Is it possible to expedite the visa or student pass application process in case of an emergency?,"Expedited processing may be possible if you provide a flight ticket and proof of urgency in English. However, approval is solely at the discretion of the immigration department. The University can only request an expedition.","Yes, it is possible to expedite the visa or student pass application process in case of an emergency. You can request expedited processing by providing a flight ticket and proof of urgency in English. However, approval is at the discretion of the immigration department, and the University can only request an expedition on your behalf.",0.8027828309787279,0.628040074571336
17,17,18,What should I do if I encounter any issues or delays with my visa or student pass application?,"If you encounter issues or delays, you should contact the visa unit in person for assistance. (insert whatsapp number)","If you encounter issues or delays with your visa or student pass application, you should contact the Visa Unit in person for assistance. They can provide guidance and help resolve any problems that may arise during the application process. You can reach them at (insert WhatsApp number).",0.856717471561532,0.5353177275412047
18,18,19,Can I travel to other countries while my visa or student pass application is being processed?,"No, you should not travel to other countries while your application is pending, especially if you don't have your passport. No if you dont have your passport.","Based on the first context provided, you should not travel to other countries while your application for a visa or student pass at Universiti Malaya is being processed, especially if you do not have your passport with you.",0.5197400292980839,0.980061185983151
19,19,20,How can I ensure that all my visa or student pass documents are in order to avoid any complications during the application process?,Check with your university and the EMGS website for a list of required documents and ensure that you have all necessary documentation prepared.,"To ensure that all your visa or student pass documents are in order and to avoid any complications during the application process, you should check with your university and the EMGS (Education Malaysia Global Services) website for a list of required documents. Once you have the list, ensure that you have all necessary documentation prepared before submitting your application.",0.6166343958527005,0.8756319203409125
20,20,21,Is there a specific timeline for submitting my visa or student pass application before my current visa expires?,"You can submit your application up to 18 weeks before your visa expires. The minimum time frame is 14 weeks. If you have one month or less remaining, you will need to apply for a special pass. ????","Based on the provided context, yes, there is a specific timeline for submitting a visa or student pass application before your current visa expires. You can submit your application up to 18 weeks (126 working days) before your visa expires, and the minimum time frame is 14 weeks (70 working days). If you have one month or less remaining before your current visa expires, you will need to apply for a special pass.",0.8959795406038786,0.45611504945913006
21,21,22,Can I apply for a visa extension if I am not currently enrolled in classes?,You will need a permission letter from your faculty first before you can apply for an extension.,"Based on the provided context (:22), you cannot apply for a visa extension if you are not currently enrolled in classes. You will need a permission letter from your faculty first before you can apply for an extension.",0.6945817680509048,0.7815602395888231
22,22,23,What are the consequences if I overstay my visa while waiting for my application to be processed?,"If you have submitted your application within 3 months, you should not encounter any major issues. Otherwise, you may need to ask for a special pass.","Based on the provided context, if you overstay your visa while waiting for your application to be processed and you have submitted your application within 3 months, you should not encounter any major issues. However, if you have waited for more than 3 months to submit your application, you may need to ask for a special pass. It's important to note that this information is specific to the Visa Unit at Universiti Malaya and may not apply to other visa processing situations.",0.5432120581152028,0.955811655347725
23,23,24,Are there any specific requirements or restrictions for applying for a visa extension outside of Malaysia?,Your friends can submit your documents on your behalf. You may enter Malaysia after the EMGS processing reaches 50%.,"Based on the context provided, there is no specific information given about requirements or restrictions for applying for a visa extension outside of Malaysia. The answer related to this question only mentions that friends can submit documents on someone's behalf, and that one may enter Malaysia after the EMGS (Education Malaysia Global Services) processing reaches 50%. Therefore, I cannot provide an accurate answer as it is not covered in the context.",0.7213912541349066,0.7464700356642376
24,24,25,"Can I apply for a visa extension online, or do I need to visit the immigration office in person?","Typically, you will need to visit the immigration office in person for visa extensions.","Based on the context provided, to apply for a visa extension, you typically need to visit the immigration office in person. The option of applying for a visa extension online is not mentioned in the context.",0.7981088337822095,0.6354387119485985
25,25,26,Are there any financial requirements or proof of funds needed for visa or student pass applications?,"Financial requirements may vary depending on your university and program, but usually, there is no specific requirement for visa or student pass applications.","Based on the information provided in context number 26, there may not be specific financial requirements or proof of funds needed for visa or student pass applications. However, financial requirements can vary depending on your university and program, so it's always best to check with your specific university to confirm.",0.8978660419004462,0.45196008065666776
26,26,27,Can I apply for a visa or student pass extension if I have pending fees or outstanding balances at my university?,"Yes, you can apply for an extension even if you have pending fees or balances at your university. This is not typically considered during the renewal process..","Yes, you can apply for a visa or student pass extension even if you have pending fees or balances at your university. This is because the process of extending a visa or student pass is typically not dependent on the settlement of outstanding fees. However, it's important to note that this is the general policy and individual cases may vary. It's always best to communicate with the visa unit and your university to ensure you're meeting all requirements.",0.7925698708073066,0.6440964775977756
27,27,28,How can I track the progress of my visa or student pass application if I am unable to visit the immigration office in person?,You can track the progress of your application on the EMGS website or app.,"You can track the progress of your application on the EMGS (Education Malaysia Global Services) website or app. This means that even if you are unable to visit the immigration office in person, you can still monitor the status of your application online. The EMGS website and app provide a convenient way for applicants to stay updated on their visa or student pass application without needing to physically go to the immigration office.",0.5743864486267554,0.9226196960248885
28,28,29,What should I do if I receive conflicting information about the visa application process from different sources?,Redirect to the visa unit.,"Based on the context provided, if you receive conflicting information about the visa application process from different sources, you should redirect your query to the visa unit at Universiti Malaya. They are the best source of accurate and up-to-date information regarding the visa application process.",0.4671520373951898,1.0323254850337893
29,29,30,Are there any medical or health screening requirements for visa or student pass applications?,Health screening is typically required for new students but not for renewals.,"Yes, health screening is typically required for new students but not for renewals. This information was provided in the first context (: 30).",0.9372137703007836,0.3543620440880013
30,30,31,Can I apply for a visa extension if I have changed my program of study or educational institution?,"No, You will need to cancel your current student pass and reapply for a new program. If you change programs after your first year of studies, you may need to leave Malaysia first.","Based on the provided context, the answer to your question is no. If you have changed your program of study or educational institution, you will need to cancel your current student pass and reapply for a new program. If you change programs after your first year of studies, you may need to leave Malaysia first. This information is from the first context provided.",0.9742479780999485,0.22694501579969545
31,31,32,"Are there any age restrictions for visa or student pass applications, particularly for minors?","If you are under 18, you can apply for a dependent pass. Dependents are considered to be parents, spouses, and children younger than 18.","Yes, based on the provided context, there are age restrictions for visa or student pass applications, particularly for minors. If you are under 18, you can apply for a dependent pass. Dependents are considered to be parents, spouses, and children younger than 18.",0.8026975796577747,0.6281757881459548
32,32,33,Can I apply for a visa or student pass extension if I have been offered employment or an internship in Malaysia?,"You can apply for an extension for internships, but for full-time employment, you need to apply for a work visa.","Yes, based on the provided context, you can apply for an extension for internships. However, for full-time employment, you need to apply for a work visa instead of a visa or student pass extension.",0.9237273753427504,0.3905704076124195
33,33,34,What should I do if my passport is lost or stolen while my visa or student pass application is pending?,"You should lodge a police report, acquire a new passport from your embassy, and apply for a transfer endorsement at the visa unit.","Based on the provided context, if your passport is lost or stolen while your visa or student pass application is pending, you should:

1. Lodge a police report to document the loss or theft.
2. Acquire a new passport from your embassy or consulate, as you will need a valid passport for the visa or student pass application.
3. Apply for a transfer endorsement at the visa unit to update your new passport details in their system.",0.654337017330375,0.8314601655158506
34,34,35,Are there any specific procedures or requirements for students transferring from other Malaysian universities or colleges?,"Refer to your university for guidance. If you are transferring out from UM, you need to cancel UM’s visa first.","Based on the provided context, there is a specific procedure for students transferring from other Malaysian universities or colleges to Universiti Malaya (UM). If you are transferring out from UM, you need to cancel UM’s visa first. However, for detailed guidance on the process of transferring into UM from another Malaysian university or college, it is recommended to refer to UM for specific instructions and requirements.",0.8021294650618378,0.6290795197643045
35,35,36,Are there any specific requirements for students from certain countries applying for visas or student passes?,"Students from Iran, Libya, Oman, and Sudan may need to provide a letter of eligibility from their embassy.","Yes, students from Iran, Libya, Oman, and Sudan may need to provide a letter of eligibility from their embassy when applying for visas or student passes. This information is provided in the first context.",0.9087031285826952,0.427309895209472
36,36,37,Can I apply for a visa or student pass extension if I am on a leave of absence from my university?,"Yes, you can apply for an extension while on leave.","Yes, you can apply for a visa or student pass extension if you are on a leave of absence from your university. This is stated in the first piece of context you provided.",0.6593161693723547,0.8254500045006083
37,37,38,What should I do if I need to change my address or contact information while my visa application is pending?,You can update your information on the Maya Portal.,"You can update your information on the Maya Portal. This answer is based on the provided context, where the question and answer pair with the number 38 states that if you need to change your address or contact information while your visa application is pending, you can update your information on the Maya Portal.",0.7919989616937506,0.6449822225884725
38,38,39,Are there any scholarships or financial aid options available to assist with visa or student pass application fees?,"There may not be specific financial aid for visa or student pass fees, but there are scholarships and financial aid options available for students.","Based on the provided context, the answer is:

There may not be specific financial aid for visa or student pass fees, but there are scholarships and financial aid options available for students. You may want to check with the Universiti Malaya financial aid office for more information on what options might be available to assist with these costs.",0.7708888329754655,0.6769212237064858
39,39,40,Can I apply for a visa extension if I have a pending appeal or review of a previous visa application?,This situation is unlikely to occur.,"Based on the provided context, the answer is: This situation is unlikely to occur.

The information provided in context number 40 states that it's unlikely for an individual to apply for a visa extension if they have a pending appeal or review of a previous visa application. This is because the visa extension and the review of a previous application are two different processes, and they typically don't overlap. Therefore, it's not recommended to assume that you can apply for an extension in this situation without checking with the immigration department first to confirm their specific policies and procedures.",0.1291056860165599,1.3197683632950625
40,40,41,Are there any language proficiency requirements for visa or student pass applications?,No specific language proficiency requirements exist for visa or student pass applications,"Based on the provided context, the answer to your question is:

No, there are no specific language proficiency requirements for visa or student pass applications. However, it's always a good idea to check with your university and the EMGS (Education Malaysia Global Services) website for any specific requirements related to your program or country of origin.",0.7972416665577388,0.6368018981371486
41,41,42,Can I apply for a visa extension if I have been issued a warning or penalty for a previous immigration violation?,"Yes, you can apply for a visa extension even if you have been issued a warning or penalty for a previous immigration violation. The decision will depend on the discretion of the immigration department.","Yes, you can apply for a visa extension even if you have been issued a warning or penalty for a previous immigration violation. The decision will depend on the discretion of the immigration department. This is based on context pair number 42.",0.9900681639576524,0.14093853456221678
42,42,43,Can I request an expedited processing of my visa or student pass application due to urgent circumstances?,"Yes, you can request expedited processing in urgent circumstances. Provide a flight ticket and proof of urgency in English. Approval is at the discretion of the immigration department.","Yes, you can request expedited processing of your visa or student pass application due to urgent circumstances. To do so, you should provide a flight ticket and proof of the urgency in English. However, it is important to note that the approval of such requests is at the discretion of the immigration department. The University can only request an expedition on your behalf.",0.8560396229085079,0.5365824804838721
43,43,44,Are there any restrictions on the types of activities I can engage in while holding a student visa or pass?,"Yes, there are restrictions on the types of activities you can engage in. For example, you may be allowed to work part-time in certain places, but it should not interfere with your studies. Check the EMGS website for more details.","Yes, there are restrictions on the types of activities you can engage in while holding a student visa or pass. For example, you may be allowed to work part-time in certain places, such as restaurants, hotels, petrol stations, mini markets, and around campus, but it should not interfere with your studies. Check the EMGS website for more details.",0.8122655331078543,0.61275520301036
44,44,45,What should I do if I have medical conditions or disabilities that may affect my visa application?,"For new students: can request for only one appeal if deemed unfit for studies.  - If you have medical conditions or disabilities that may affect your visa application, notify the visa unit. In some cases, you may request an appeal if you are deemed unfit for studies.","Based on the context provided, if you have medical conditions or disabilities that may affect your visa application, you should notify the visa unit at Universiti Malaya. In some cases, you may be able to request an appeal if you are deemed unfit for studies. This is allowed for new students, and it is important to provide this information during the initial application process.",0.8039074555025928,0.6262468173518108
45,45,46,Can I apply for a visa extension if I am participating in an exchange program or study abroad program?,"Yes, you can apply for a visa extension if you are participating in an exchange program or study abroad program.","Yes, based on the provided context, you can apply for a visa extension if you are participating in an exchange program or study abroad program.",0.9881166168340426,0.1541647369095651
46,46,47,Are there any additional fees or charges associated with visa or student pass applications?,"Send the visa renewal form. The fees are listed there. There are processing fees associated with each application, including special pass applications. Refer to the visa renewal form or the EMGS website for a detailed list of fees.","Yes, there are processing fees associated with each application, including special pass applications. The specific fees can be found in the visa renewal form or on the EMGS (Education Malaysia Global Services) website.",0.7527157004028548,0.7032556940153251
47,47,48,Can I apply for a visa extension if I am planning to switch to a different type of visa or pass?,"No, you cannot apply for a visa extension if you are switching to a different type of visa or pass. You would need to cancel your existing pass and apply for the new type of visa or pass.","Based on the first context provided, if you are planning to switch to a different type of visa or pass, you cannot apply for a visa extension. You would need to cancel your existing pass and apply for the new type of visa or pass.",0.968547358045565,0.25080925662942666
48,48,49,How can I obtain a letter of support or endorsement from my university for my visa application?,Contact your faculty office to obtain a letter of support or endorsement for your visa application.,"To obtain a letter of support or endorsement from Universiti Malaya for your visa application, you should contact your faculty office. They will be able to assist you with the process of obtaining this letter.",0.6930441949684395,0.7835251387962012
49,49,50,Are there any specific requirements for visa applications if I am sponsored by a government or organization?,"Typically, there are no special requirements if you are sponsored by a government or organization. However, ensure that you have the necessary documentation to prove your sponsorship.","Based on the provided context, there are typically no special requirements for visa applications if you are sponsored by a government or organization. However, it's essential to have the necessary documentation to prove your sponsorship. This information is stated in the first context.",0.8616569808784591,0.526009542758724
50,50,51,Can I apply for a visa extension if I am enrolled in an online or distance learning program?,"No, you cannot apply for a visa extension if you are enrolled in an online or distance learning program.","Based on the context provided, the answer to your question is: No, you cannot apply for a visa extension if you are enrolled in an online or distance learning program.",0.9802188075001022,0.19890295481404385
51,51,52,What should I do if I need to leave Malaysia temporarily while my visa application is pending?,"If your visa application is pending and you need to leave Malaysia temporarily, it is advisable to wait until your application is processed. If you must leave, ensure you have your passport and consider contacting the visa unit for guidance. Can’t leave if less than or equal to 10 days are left.","If your visa application is pending and you need to leave Malaysia temporarily, it is advisable to wait until your application is processed. If you must leave, ensure you have your passport and consider contacting the visa unit for guidance. You should also be aware that you cannot leave if less than or equal to 1",0.951897123234012,0.3101705287250395
52,52,53,Are there any restrictions on working or volunteering while holding a student visa or pass?,"There are restrictions on where you can work or volunteer while holding a student visa or pass. Typically, you can only work in places such as restaurants, hotels, petrol stations, mini markets, and around campus. Ensure that your work does not interfere with your studies. Refer to the EMGS website for further information.","Yes, there are restrictions on where you can work or volunteer while holding a student visa or pass. Typically, you can only work in places such as restaurants, hotels, petrol stations, mini markets, and around campus. Ensure that your work does not interfere with your studies. For more information, you can refer to the EMGS (Education Malaysia Global Services) website. This information is based on the first context provided.",0.7490282563237981,0.7084796960088235
53,53,54,How can I provide proof of accommodation or housing arrangements for my visa application?,Proof of accommodation is not typically required for visa applications.,"Based on the context provided, proof of accommodation is not typically required for visa applications. Therefore, you may not need to provide proof of accommodation for your visa application. However, I would recommend checking with your university and the EMGS website for the most accurate and up-to-date information.",0.7672271980815272,0.6823090594358499
54,54,55,Can I apply for a visa extension if I am in the process of transferring to a different university or educational institution?,You need to visit the visa unit in person for this process.,"Based on the provided context, if you are in the process of transferring to a different university or educational institution, you need to visit the visa unit in person to apply for a visa extension. It does not specify whether the transfer process affects your ability to extend your visa, but it is clear that you need to visit the visa unit for this process.",0.4917263038378109,1.008239728935726
55,55,56,Visa office working hours?,"The visa office operates Monday to Thursday from 9:00 am to 3:00 pm and Fridays from 9:00 am to 12:00 pm. No new applications are accepted on Fridays, but you can collect/submit passports, i-KAD, and additional documents requested by EMGS.","The visa office operates Monday to Thursday from 9:00 am to 3:00 pm and Fridays from 9:00 am to 12:00 pm. No new applications are accepted on Fridays, but you can collect/submit passports, i-KAD, and additional documents requested by EMGS.

I provided this answer based on the context number 56, which states:
question: Visa office working hours?
answer: The visa office operates Monday to Thursday from 9:00 am to 3:00 pm and Fridays from 9:00 am to 12:00 pm. No new applications are accepted on Fridays, but you can collect/submit passports, i-KAD, and additional documents requested by EMGS.",0.9339983308883252,0.363322633700436
56,56,57,Can new students bring their dependents?,"New students are strongly not recommended to bring their dependents with them during their first entry to Malaysia using the student VAL. After arriving, students can apply for a dependent pass for their family members.","Based on the provided context (context no. 57), new students are strongly not recommended to bring their dependents with them during their first entry to Malaysia using the student VAL. After arriving, students can apply for a dependent pass for their family members. Therefore, the answer to the question is: new students are not recommended to bring their dependents with them during their initial entry with a student visa, but they can apply for a dependent pass for their family members after arriving in Malaysia.",0.9361638474342348,0.35731261573846507
57,57,58,How to cancel my student visa?,"To cancel your student visa, visit the visa unit after completing your studies. You will need to present a flight ticket to your home country.","To cancel your student visa, you should visit the visa unit after completing your studies. During your visit, you will need to present a flight ticket to your home country. This will initiate the cancellation process for your student visa.",0.9796809938719616,0.20158871386840774
58,58,59,Can I travel to a third country after canceling my visa?,"No, you need to provide proof of your resident pass of the third country.","Based on the provided context, you cannot travel to a third country after canceling your visa without proof of your resident pass of the third country. The first entry in the context states that you need to provide proof of your resident pass of the third country if you want to travel to a third country after canceling your visa. Therefore, it is necessary to have a valid resident pass for the third country to be able to travel there after canceling your visa.",0.5830539608244416,0.913176974269187
59,59,60,What happens if I don’t cancel my student pass?,"If you do not cancel your student pass, you may be reported to the immigration department and risk being blacklisted.","If you do not cancel your student pass, you may be reported to the immigration department and risk being blacklisted. This information is provided in the first context with the number 60.",0.9243159516242012,0.38906053871041213
60,60,61,When do I submit the cancellation application?,Submit the cancellation application when you have at least one month of validity left on your student visa.,"Based on the provided context (:61), you should submit the cancellation application when you have at least one month of validity left on your student visa.",0.961309457658932,0.2781745507672364
